组号,组主题,成语,释义,考频
1,连续不断,层出不穷,接连不断地出现，没有穷尽。,33
1,连续不断,一脉相承,由一个血统或一个派别传下来。也说一脉相传。,21
1,连续不断,此起彼伏,这里起来，那里落下，表示连续不断。,19
1,连续不断,此消彼长,指这个下降，那个上升。引申为不要太过于在乎此时的失去，别的方面会有长进。什么事情都有两面或者多面性。或者引申为两个事物之间的反相关关系。,18
1,连续不断,生生不息,指不断地生长、繁殖。,12
1,连续不断,源源不断,形容接连不断。,8
1,连续不断,不绝如缕,像细线一样连着，差点儿就要断了，多用来形容局势危急或声音细微悠长。,7
1,连续不断,绵绵不绝,形容接连不断，一直延续下去。,5
1,连续不断,绵延不绝,连续不断，一直延续，形容相同的自然景观一个接一个不间断地出现。,3
2,继承/传承/延续,薪火相传,比喻学问和技艺代代相传。,16
2,继承/传承/延续,纷至沓来,纷纷到来；连续不断地到来。,16
2,继承/传承/延续,接踵而至,后头的人脚尖接着前头人的脚跟，一个跟着一个来到。比喻来者很多，络绎不绝。,14
2,继承/传承/延续,趋之若鹜,像鸭子一样，成群地跑过去，多比喻许多人争着去追逐（不好的事物）。,12
2,继承/传承/延续,前赴后继,前面的人上去，后面的人就跟上去，形容奋勇前进，连续不断。,8
2,继承/传承/延续,继往开来,继承前人的事业，并为将来开辟道路。,7
2,继承/传承/延续,蜂拥而至,像蜜蜂一样一拥而来。形容许多人乱哄哄地同时来到。,7
2,继承/传承/延续,口耳相传,口说耳听地往下传授。,5
2,继承/传承/延续,代代相传,指一代接一代地相继传下去。,3
3,人多/热闹/不间断,琳琅满目,比喻各种美好的东西很多（多指书籍或工艺品）,14
3,人多/热闹/不间断,络绎不绝,形容行人、车马、船只等来往频繁，连续不断。,9
3,人多/热闹/不间断,争先恐后,争着向前，唯恐落后。,8
3,人多/热闹/不间断,熙熙攘攘,形容人来人往，非常热闹。,8
3,人多/热闹/不间断,一哄而上,没有经过认真准备和严密组织，一下子行动起来。,5
3,人多/热闹/不间断,门庭若市,门口和庭院里热闹得像市场一样，形容交际来往的人很多。,4
3,人多/热闹/不间断,万人空巷,家家户户的人都从巷子里出来了，多用来形容庆祝、欢迎等盛况。,4
3,人多/热闹/不间断,川流不息,（行人、车马等）像水流一样连续不断。,3
4,东西（事情）多,浩如烟海,形容文献、资料等非常丰富。,15
4,东西（事情）多,眼花缭乱,眼睛看见复杂纷繁的东西而感到迷乱。,12
4,东西（事情）多,应接不暇,原指美景繁多，看不过来。后形容人或事情太多，接待应付不过来。,7
4,东西（事情）多,目不暇接,东西太多，眼睛看不过来,4
5,书多/资料多,汗牛充栋,形容书籍极多（汗牛：用牛运输，牛累得出汗；充栋：堆满了屋子）。,16
5,书多/资料多,不胜枚举,无法一个一个全举出来，形容同一类的人或事物很多。,16
5,书多/资料多,不计其数,无法计算数目，形容极多。,11
5,书多/资料多,数不胜数,数也数不过来，形容很多。,9
